,朋友詞,正面情緒詞,負面情緒詞,人稱代名詞,認知歷程詞,總字數,人稱前後正面,人稱前後負面,我,你,他,她,自己,自身,本人
太宰治-人間失格,382,500,605,1938,1302,29810,508,640,1324,179,164,122,128,2,1
林海音 竊書記,0,11,11,56,25,688,12,11,48,2,5,0,1,0,0
邱妙津-蒙馬特遺書,479,954,736,4142,1765,35583,1730,1343,2246,836,123,694,191,7,0
南康-我等你到三十五歲,41,72,29,219,191,2956,101,41,83,10,95,11,18,0,0
海子-短詩,77,94,116,379,195,5949,59,52,218,113,13,15,22,0,0
張愛玲 我的天才夢,10,16,16,54,20,692,18,19,43,4,1,5,1,0,0
陳之藩 熊,20,9,13,37,43,1062,4,12,17,4,4,7,5,0,0
陳冠學 田園之秋,1,6,14,3,13,452,3,1,2,1,0,0,0,0,0
琦君-散文,403,242,151,634,485,13423,169,134,716,64,112,207,28,0,0
余光中-不朽，是一堆頑石,9,26,30,103,131,4151,14,11,7,2,75,7,12,0,0
余光中-牛蛙記,20,22,28,71,74,2233,17,18,51,7,8,4,1,0,0
余光中-西歐的夏天,2,4,3,12,33,766,0,0,10,1,1,0,0,0,0
余光中-南半球的冬天,3,18,8,48,57,2065,8,4,42,0,0,1,5,0,0
余光中-記憶像鐵軌一樣長,19,42,26,58,97,2934,17,12,41,8,2,1,6,0,0
余光中-鬼雨,55,22,45,98,83,2327,16,14,39,31,20,8,0,0,0
余光中-假如我有九條命,19,14,7,35,43,1064,9,5,22,1,4,2,5,0,0
余光中-從母親到外遇,20,17,11,64,67,1718,6,7,41,2,1,17,3,0,0
余光中-猛虎和薔薇,5,39,18,31,75,1562,14,7,21,0,7,1,2,0,0
余光中-焚鶴人,48,37,25,174,104,3210,28,15,18,30,99,15,12,0,0
余光中-催魂鈴,105,81,58,299,228,6078,65,43,87,32,138,22,18,0,0
余光中-橋跨黃金城-記布拉格,83,61,54,91,219,5958,17,24,37,8,35,7,3,0,0
余光中-聽聽那冷雨,3,27,13,27,75,2227,8,3,0,20,4,1,0,0,0
余光中,391,410,326,1111,1286,36293,219,163,416,142,394,86,67,0,0
