,朋友詞,正面情緒詞,負面情緒詞,人稱代名詞,認知歷程詞,總字數,人稱前後正面,人稱前後負面
太宰治-人間失格,382,500,605,1938,1302,29810,508,640
林海音 竊書記,0,11,11,56,25,688,12,11
邱妙津-蒙馬特遺書,479,954,736,4142,1765,35583,1730,1343
南康-我等你到三十五歲,41,72,29,219,191,2956,101,41
海子-短詩,77,94,116,379,195,5949,59,52
張愛玲 我的天才夢,10,16,16,54,20,692,18,19
陳之藩 熊,20,9,13,37,43,1062,4,12
陳冠學 田園之秋,1,6,14,3,13,452,3,1
琦君-散文,403,242,151,634,485,13423,169,134
余光中-不朽，是一堆頑石,9,26,30,103,131,4151,14,11
余光中-牛蛙記,20,22,28,71,74,2233,17,18
余光中-西歐的夏天,2,4,3,12,33,766,0,0
余光中-南半球的冬天,3,18,8,48,57,2065,8,4
余光中-記憶像鐵軌一樣長,19,42,26,58,97,2934,17,12
余光中-鬼雨,55,22,45,98,83,2327,16,14
余光中-假如我有九條命,19,14,7,35,43,1064,9,5
余光中-從母親到外遇,20,17,11,64,67,1718,6,7
余光中-猛虎和薔薇,5,39,18,31,75,1562,14,7
余光中-焚鶴人,48,37,25,174,104,3210,28,15
余光中-催魂鈴,105,81,58,299,228,6078,65,43
余光中-橋跨黃金城-記布拉格,83,61,54,91,219,5958,17,24
余光中-聽聽那冷雨,3,27,13,27,75,2227,8,3
余光中,391,410,326,1111,1286,36293,219,163
